chrom	start	end	Syndrome	Type	Phenotypes
chr17	16773072	20222149	Potocki-Lupski syndrome (17p11.2 duplication syndrome)	Duplication	Autism, Hyperactivity, Short attention span, Short stature
chr11	43994800	46052450	Potocki-Shaffer syndrome	Deletion	Abnormality of the male genitalia, Delayed cranial suture closure, Intellectual disability, Multiple exostoses, Parietal foramina
chr15	22749354	28438266	Prader-Willi syndrome (Type 1)	Deletion	Feeding difficulties in infancy, Hypogonadism, Intellectual disability, Muscular hypotonia, Truncal obesity
chr15	23619912	28438266	Prader-Willi Syndrome (Type 2)	Deletion	Feeding difficulties in infancy, Hypogonadism, Intellectual disability, Muscular hypotonia, Truncal obesity
chr17	34815072	36215917	RCAD (renal cysts and diabetes)	Deletion	Abnormality of the liver, Diabetes mellitus, Multiple renal cysts
chr16	21946524	22467284	Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	Deletion	Delayed speech and language development, Intellectual disability, Microcephaly
chr16	3775055	3930121	Rubinstein-Taybi Syndrome	Deletion	NA
chr17	16773072	20222149	Smith-Magenis Syndrome	Deletion	Brachydactyly syndrome, Hoarse voice, Hyperactivity, Intellectual disability, Muscular hypotonia, Self-mutilation, Short stature, Sleep disturbance, Stereotypic behavior
chr5	175724636	177052116	Sotos syndrome	Deletion	Accelerated skeletal maturation, Intellectual disability, Macrocephaly, Mandibular prognathia, Tall stature
chr7	96318078	96339203	Split hand/foot malformation 1 (SHFM1)	Deletion	2-3 toe syndactyly, Abnormality of the genital system, Abnormality of the urinary system, Cleft palate, Cutaneous finger syndactyly, Ectrodactyly (feet), Ectrodactyly (hands), Lacrimal duct aplasia, Median cleft lip, Sensorineural hearing impairment, Toe syndactyly
chrX	6455812	8133195	Steroid sulphatase deficiency (STS)	Deletion	Ichthyosiform abnormality of the skin
chr11	31806339	32457087	WAGR 11p13 deletion syndrome	Deletion	Abnormality of the male genitalia, Aniridia, Intellectual disability, Renal neoplasm
chr7	72744455	74142672	Williams-Beuren Syndrome (WBS)	Deletion	Aortic valve stenosis, Everted lower lip vermilion, Intellectual disability, Malar flattening, Microdontia, Short attention span, Short stature
chr4	1569197	2110236	Wolf-Hirschhorn Syndrome	Deletion	Intellectual disability, Microcephaly, Muscular hypotonia, Seizures, Small for gestational age
chrX	53401070	53683275	Xp11.22-linked intellectual disability	Duplication	Intellectual disability
chrX	48334549	52117661	Xp11.22-p11.23 Microduplication	Duplication	NA
chrX	153287263	153363188	Xq28 (MECP2) duplication	Duplication	Delayed speech and language development, Intellectual disability, Muscular hypotonia, Recurrent infections, Seizures, Spasticity
chrX	153624563	153881853	Xq28 Microduplication	Duplication	NA
