,Gene/Region,GRCh37,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13247)",10:71280815-71291303,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13249)",10:71282906-71291092,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10q22.3 population region (gnomAD-SV_v2.1_DEL_10_112166)",10:81604499-81610800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q22.3q23.2 recurrent region (LCR 3-LCR 4) (Includes BMPR1A)",10:81682843-88739388,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,10/13/2016
R,"11p11.2 (Potocki-Shaffer syndrome) region (includes ALX4, EXT2)",11:43894800-46152450,"3 (Sufficient Evidence)","0 (No Evidence)",,,‐,‐,‐,12/12/2013
R,"11p13 (WAGR syndrome) region",11:31803509-32510988,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,05/24/2016
R,"11p14.1 population region (DGV_Gold_Standard_June_2021_gssvG6305)",11:29007150-29012087,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvG6192)",11:18940205-18963657,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvL17400)",11:18941859-18964598,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5919)",11:3239311-3360988,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5957)",11:4255965-4278463,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16732)",11:4264092-4309730,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16737)",11:4255449-4278126,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16784)",11:4968688-4980232,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16881)",11:5873984-5883499,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16961)",11:7809752-7834885,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116046)",11:4967746-4976658,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116124)",11:5873988-5883493,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116241)",11:7811175-7833378,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"11p15.5 population region (DGV_Gold_Standard_June_2021_gssvL16511)",11:1915245-1937002,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11q11 population region (DGV_Gold_Standard_June_2021_gssvL19042)",11:55445709-55457776,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11q11 population region (DGV_Gold_Standard_June_2021_gssvL19045)",11:55434253-55443984,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11q11 population region (gnomAD-SV_v2.1_DEL_11_119505)",11:55031602-55038540,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"11q11 population region (gnomAD-SV_v2.1_DEL_11_119564)",11:55364275-55444015,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"11q12.2 population region (DGV_Gold_Standard_June_2021_gssvG6800)",11:60966146-61020399,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"11q13.2q13.4 recurrent region (includes SHANK2, FGFs)",11:67763646-71236931,"2 (Emerging Evidence)","0 (No Evidence)",,,‐,‐,‐,01/27/2018
R,"11q13.4 population region (DGV_Gold_Standard_June_2021_gssvL19865)",11:71850646-71889330,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11q14.3 population region (gnomAD-SV_v2.1_DEL_11_121860)",11:89762999-89783400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"11q14.3 population region (gnomAD-SV_v2.1_DUP_11_33042)",11:89520077-89657031,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/09/2021
R,"11q22.2 population region (DGV_Gold_Standard_June_2021_gssvL21098)",11:102751106-102752862,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"12p11.1 population region (DGV_Gold_Standard_June_2021_gssvL24290)",12:34355893-34361543,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p11.2 population region (DGV_Gold_Standard_June_2021_gssvG23340)",21:10704853-10982352,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/03/2021
R,"12p11.23 population region (DGV_Gold_Standard_June_2021_gssvL23860)",12:27647940-27654731,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p11.23 population region (gnomAD-SV_v2.1_DEL_12_126677)",12:27648141-27655163,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23179)",12:10581251-10597043,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23223)",12:11191681-11217625,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23228)",12:11227081-11251139,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23231)",12:11224984-11240896,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125567)",12:10581544-10597003,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125568)",12:10581599-10587675,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125610)",12:11225999-11250600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7792)",12:8558090-8596215,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7850)",12:8361522-8391789,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"12p13.31 population region (gnomAD-SV_v2.1_DUP_12_33971)",12:8361449-8390896,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/09/2021
R,"12q12 population region (gnomAD-SV_v2.1_DEL_12_127735)",12:40874766-40876424,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"12q23.3 population region (DGV_Gold_Standard_June_2021_gssvL26928)",12:105369015-105374180,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"13q12.11 population region (DGV_Gold_Standard_June_2021_gssvG9718)",13:21534913-21541123,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"13q12.12 recurrent region (includes SACS, SGCG)",13:23544582-24881361,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,04/26/2021
R,"13q21.1 population region (DGV_Gold_Standard_June_2021_gssvL30434)",13:57768508-57786942,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"13q21.33 population region (DGV_Gold_Standard_June_2021_gssvL31119)",13:72476988-72489787,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10810)",14:19596713-20418095,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10817)",14:20190229-20426809,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10827)",14:20335536-20423298,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10899)",14:19462329-19469848,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33520)",14:20190699-20425231,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33589)",14:19462304-19469872,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (gnomAD-SV_v2.1_DEL_14_140616)",14:24467999-24474000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"14q11.2 region (TCRA region)",14:22111109-23021097,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,04/09/2015
R,"14q11.2 region including CHD8 and SUPT16H",14:21826900-21861987,"2 (Emerging Evidence)","0 (No Evidence)",,,‐,‐,‐,05/09/2012
R,"14q13.2 population region (DGV_Gold_Standard_June_2021_gssvL34350)",14:35605396-35615320,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q32 region associated with UPD(14) phenotypes",14:100394594-101504529,"2 (Emerging Evidence)","0 (No Evidence)",,,‐,‐,‐,05/10/2012
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12097)",14:106118177-106145774,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12117)",14:106826451-106850917,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12133)",14:107147166-107164532,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12150)",14:106805092-106814699,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37239)",14:106483725-106508484,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37313)",14:107172848-107183396,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12224)",15:20388741-22207639,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12359)",15:21145101-21164300,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"15q11.2 population region (gnomAD-SV_v2.1_DEL_15_145826)",15:20729174-20745525,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q11.2 population region (gnomAD-SV_v2.1_DEL_15_145837)",15:21042049-21056300,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q11.2 recurrent region (BP1-BP2) (includes NIPA1)",15:22832519-23090897,"3 (Sufficient Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,04/12/2021
R,"15q11.2q13 recurrent (PWS/AS) region (Class 1, BP1-BP3)",15:22832519-28379874,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,11/26/2013
R,"15q11.2q13 recurrent (PWS/AS) region (Class 2,BP2-BP3)",15:23747996-28379874,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,11/26/2013
R,"15q13 recurrent region (BP3-BP4) (includes APBA2)",15:29156959-30368990,"0 (No Evidence)","0 (No Evidence)",,,‐,‐,‐,03/09/2020
R,"15q13.2 population region (DGV_Gold_Standard_June_2021_gssvG12633)",15:30488097-30796070,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146428)",15:30381948-30438500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146452)",15:30692999-30725200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146453)",15:30432998-30883100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146464)",15:30825199-30853100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146467)",15:30847949-30883100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146609)",15:32692999-32698000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146612)",15:32743999-32755100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146614)",15:32774999-32780000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146625)",15:32864999-32898000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146627)",15:32886199-32898000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DUP_15_39790)",15:32690774-32734250,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/09/2021
R,"15q13.3 recurrent region (BP4-BP5) (includes CHRNA7)",15:31192889-32445405,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,04/28/2018
R,"15q13.3 recurrent region (D-CHRNA7 to BP5) (includes CHRNA7, OTUD7A)",15:32019621-32445405,"3 (Sufficient Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,05/10/2018
R,"15q14 population region (gnomAD-SV_v2.1_DEL_15_146738)",15:34710126-34856557,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q14 population region (gnomAD-SV_v2.1_DEL_15_146739)",15:34726357-34872885,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"15q24 recurrent region (LCR A-LCR C)",15:72963715-75508312,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,01/03/2020
R,"15q24 recurrent region (LCR A-LCR D) (includes SIN3A)",15:72963715-75972909,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,08/31/2018
R,"15q24 recurrent region (LCR C-LCR D) (includes SIN3A)","15: 75631787-75972909","3 (Sufficient Evidence)","0 (No Evidence)",,,‐,‐,‐,01/13/2020
R,"15q25.2 recurrent region (proximal LCR B-LCR C)",15:83213988-84714733,"3 (Sufficient Evidence)","0 (No Evidence)",,,‐,‐,‐,10/13/2016
R,"15q25.2q25.3 recurrent region (distal, LCR C-LCR D)",15:85139652-85713001,"1 (Little Evidence)","0 (No Evidence)",,,‐,‐,‐,06/26/2020
R,"16p11.2 population region (gnomAD-SV_v2.1_DEL_16_153568)",16:28715099-28771000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p11.2 population region (gnomAD-SV_v2.1_DEL_16_153573)",16:28764999-28772000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p11.2 population region (gnomAD-SV_v2.1_DEL_16_153860)",16:32655999-32802000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p11.2 population region (gnomAD-SV_v2.1_DUP_16_42022)",16:32019999-32096000,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"16p11.2 recurrent region (distal, BP2-BP3) (includes SH2B1)",16:28822635-29046499,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,03/09/2017
R,"16p11.2 recurrent region (proximal, BP4-BP5) (includes TBX6)",16:29649997-30199852,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,02/09/2017
R,"16p12.1 population region (DGV_Gold_Standard_June_2021_gssvL43366)",16:25066146-25137378,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p12.2 population region (DGV_Gold_Standard_June_2021_gssvG14372)",16:21512076-21595577,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/04/2021
R,"16p12.2 recurrent region (distal)(includes OTOA)",16:21570113-21740423,"30 (Autosomal Recessive)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,11/03/2019
R,"16p12.2 recurrent region (proximal) (includes EEF2K, CDR2)",16:21948445-22430804,"2 (Emerging Evidence)","0 (No Evidence)",,,‐,‐,‐,03/23/2018
R,"16p12.3 population region (gnomAD-SV_v2.1_DEL_16_152900)",16:18414999-18421000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"16p13.11 population region (gnomAD-SV_v2.1_DEL_16_152730)",16:16329599-16364350,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/23/2021
R,"16p13.11 recurrent region (BP2-BP3) (includes MYH11)",16:15511711-16292265,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,04/13/2021
R,"16p13.12 population region (gnomAD-SV_v2.1_DEL_16_152600)",16:14782999-14853150,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
